control_id,capitulo,control_nombre,control_descripcion,pregunta,proposito,tipo_preventivo,tipo_detectivo,tipo_correctivo,prop_confidencialidad,prop_integridad,prop_disponibilidad,func_identificacion,func_proteccion,func_deteccion,func_respuesta,func_recuperacion,cap_gobernanza,cap_gestion_activos,cap_proteccion_informacion,cap_seguridad_rrhh,cap_seguridad_fisica,cap_seguridad_redes_sistemas,cap_seguridad_aplicaciones,cap_configuraciones_seguras,cap_gestion_accesos_identidades,cap_gestion_amenazas_vulnerabilidades,cap_continuidad,cap_seguridad_proveedores,cap_cumplimiento_legalidad,cap_gestion_eventos_si,cap_garantizar_si,dom_gobernanza_ecosistema,dom_proteccion,dom_defensa,dom_resiliencia,aplica,peso,porcentaje_absoluto_capitulo,tipo_seguridad,proyecto_sugerido,plazo_sugerido,mapeo_iso_27002_2013
5.11,5 - Controles Organizativos,Devolución de activos,"5.11 - Todo el personal y otras partes interesadas, según corresponda, deben devolver todos los activos de la organización que estén en su poder al cambiar o terminar su empleo, contrato o acuerdo.","5.11 - ¿Los empleados y usuarios de partes externas devuelven todos los activos de la organización en su poder tras la terminación de su empleo, contrato o acuerdo?",0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.675676,2.702703,Organizativa,Definición de Contratos (Internos y de Terceros),Largo,Seguridad de los RRHH
5.12,5 - Controles Organizativos,Clasificación de la información,"5.12 - La información debe clasificarse en términos de confidencialidad, integridad y disponibilidad y requisitos pertinentes de las partes interesadas.","5.12 - ¿Está la información debidamente clasificada de acuerdo con los requisitos legales, su valor, su sensibilidad y su criticidad?",0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.675676,2.702703,Organizativa,Definición de Contratos (Internos y de Terceros),Largo,Marco Normativo de Seguridad
5.13,5 - Controles Organizativos,Etiquetado de información,5.13 - Se debe desarrollar e implementar un conjunto apropiado de procedimientos para el etiquetado de la información de acuerdo con el esquema de clasificación de la información adoptado por la organización.,"5.13 - ¿Está debidamente desarrollado e implementado un conjunto apropiado de procedimientos para rotular / etiquetar la información, de acuerdo con el esquema de clasificación de la información adoptado por la organización?",0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.675676,2.702703,Organizativa,Programa de Concientización en Seguridad,Corto,Marco Normativo de Seguridad
5.14,5 - Controles Organizativos,Transferencia de información,"5.14 - Deben existir reglas, procedimientos o acuerdos de transferencia de información, tanto dentro de la organización como entre la organización y otras terceras partes, para todos los tipos de transferencia.","5.14 - ¿Existen reglas, procedimientos o acuerdos de transferencia de información, tanto dentro de la organización como entre la organización y otras partes, para todos los tipos de instalaciones de transferencia?",0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.675676,2.702703,Organizativa,Seguridad de los RRHH,Largo,Marco Normativo de Seguridad
5.15,5 - Controles Organizativos,Control de acceso,5.15 - Deben establecerse e implementarse reglas para controlar el acceso físico y lógico a la información y los activos asociados en función de los requisitos comerciales y de SI.,"5.15 - ¿Está definida, documentada y revisada la política de control de accesos basada en los requisitos del negocio y los requerimientos de SI?",0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.675676,2.702703,Organizativa,Programa de Concientización en Seguridad,Corto,Seguridad de los RRHH
5.16,5 - Controles Organizativos,Gestión de identidad,5.16 - Se debe gestionar el ciclo de vida completo de todas las identidades.,5.16 - ¿Se gestionó el ciclo de vida completo de todas las identidades?,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.675676,2.702703,Lógica,Inventario de Activos,Corto,Marco Normativo de Seguridad
5.17,5 - Controles Organizativos,Información de autenticación,"5.17 - La asignación y gestión de la información de autenticación debe controlarse mediante un proceso de gestión formal, que incluya asesorar al personal sobre el manejo adecuado de la información de autenticación.","5.17 - ¿Se controló la asignación y gestión de la información de autenticación mediante un proceso de gestión formal, que incluya asesorar al personal sobre el manejo adecuado de la información de autenticación?",0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.675676,2.702703,Organizativa,Organización de la Seguridad,Corto,Organización de la Seguridad
5.18,5 - Controles Organizativos,Derechos de acceso,"5.18 - Los derechos de acceso a información, sistemas, aplicaciones y servicios deben proporcionarse, revisarse, modificarse y eliminarse de acuerdo con la política y los procedimientos de la organización sobre control de acceso.",5.18 - ¿Se restringe y controla adecuadamente la asignación y utilización de los derechos de acceso privilegiados?,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.675676,2.702703,Organizativa,Seguridad de los RRHH,Largo,Marco Normativo de Seguridad
5.19,5 - Controles Organizativos,SI en las relaciones con los proveedores,5.19 - Se deben identificar e implementar procesos y procedimientos para administrar los riesgos de SI asociados con el uso de proveedores.,"5.19 - ¿Se acuerda con el proveedor y documentan, los requisitos de SI para mitigar los riesgos asociados por parte del acceso del proveedor a los activos de la organización?",0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.675676,2.702703,Organizativa,Seguridad de los RRHH,Largo,Definición de Contratos (Internos y de Terceros)
5.20,5 - Controles Organizativos,Abordar la SI en acuerdos con proveedores,5.20 - Todos los requisitos de SI relevantes deben establecerse y acordarse con cada proveedor en función del tipo de proveedor.,"5.20 - ¿Se establecen y acuerdan todos los requisitos de SI con cada proveedor que accede, procesa, almacena, comunica o proporciona componentes de la infraestructura de TI para la información de la organización?",0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.675676,2.702703,Organizativa,Clasificación y Tratamiento de Activos,Corto,Adecuación a Requerimientos Legales
5.21,5 - Controles Organizativos,Gestión de la SI en la cadena de suministro de las TIC,5.21 - Los acuerdos con los proveedores deben incluir requisitos para abordar los riesgos de SI asociados con los servicios de tecnología de la información y comunicaciones y la cadena de suministro de productos.,5.21 - ¿Los acuerdos con los proveedores incluyen requisitos para tratar los riesgos de SI asociados a la cadena de suministro de servicios y productos de las TI y las comunicaciones?,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.675676,2.702703,Organizativa,Clasificación y Tratamiento de Activos,Corto,Marco Normativo de Seguridad
5.22,5 - Controles Organizativos,"Seguimiento, revisión y gestión de cambios de servicios de proveedores","5.22 - La organización debería monitorear, revisar, evaluar y gestionar regularmente los cambios en las prácticas de SI de los proveedores y la prestación de servicios.","5.22 - ¿Se controla, revisa y audita periódicamente la entrega de los servicios prestados por los proveedores?",0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0.675676,2.702703,Organizativa,Clasificación y Tratamiento de Activos,Corto,Marco Normativo de Seguridad
5.23,5 - Controles Organizativos,SI para el uso de servicios en la nube,"5.23 - Se deben establecer una estrategia y procesos para la adquisición, uso, gestión y salida de los servicios en la nube teniendo en cuenta los requisitos de SI de la organización.","5.23 - ¿Se estableció una estrategia y procesos para la adquisición, uso, gestión y salida de los servicios en la nube teniendo en cuenta los requisitos de seguridad de la información de la organización?",0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.675676,2.702703,Lógica,Prevención de Fuga de Datos (DLP),Medio,Clasificación y Tratamiento de Activos
